obj,time,oracles,method
13203898.0,0.10616183280944824,0,gurobi
13211860.0,10.220270872116089,0,gurobi
13218417.0,14.545727014541626,0,gurobi
13227890.0,18.65541386604309,0,gurobi
13250253.0,20.593791007995605,0,gurobi
13254277.0,27.4840829372406,0,gurobi
11703153,0.005106,17,iqs
11743010,0.004013,10,iqs
11837469,0.004936,13,iqs
11743148,0.006357,23,iqs
11737113,0.005136,9,iqs
11856558,0.006308,19,iqs
11830076,0.007539,29,iqs
11680187,0.003443,10,iqs
11807142,0.006117,12,iqs
11840359,0.008058,33,iqs
12044238,0.006981,22,iqs
11726069,0.003481,3,iqs
11717373,0.004448,13,iqs
11854054,0.006792,15,iqs
11746816,0.004485,6,iqs
12076171,0.007907,25,iqs
11730010,0.005021,16,iqs
11897466,0.007699,18,iqs
11763906,0.005098,12,iqs
11892324,0.009878,40,iqs
12078197,0.008519,29,iqs
11798685,0.005627,20,iqs
11992001,0.008542,24,iqs
11729774,0.003614,3,iqs
11916654,0.010855,44,iqs
11827284,0.005954,16,iqs
11821507,0.006262,26,iqs
11826506,0.004813,6,iqs
11934561,0.011483,47,iqs
12023863,0.010363,30,iqs
11894972,0.007293,30,iqs
12002247,0.012879,50,iqs
11976426,0.007387,23,iqs
12137475,0.011981,36,iqs
11983028,0.008085,36,iqs
11771416,0.004498,3,iqs
12097922,0.014204,53,iqs
12102797,0.01418,44,iqs
11822767,0.005634,6,iqs
12110285,0.014816,59,iqs
12307545,0.013752,43,iqs
11911882,0.011299,30,iqs
12133532,0.015369,62,iqs
11754738,0.008654,12,iqs
11839689,0.006428,9,iqs
11773901,0.004683,3,iqs
11979747,0.010312,32,iqs
12309330,0.015037,49,iqs
12216530,0.016131,68,iqs
11976090,0.013217,36,iqs
11861098,0.00758,12,iqs
11803488,0.006537,7,iqs
11824354,0.011328,19,iqs
11998930,0.01382,47,iqs
11733561,0.006267,9,iqs
11971850,0.008291,15,iqs
11987882,0.012231,42,iqs
12228458,0.017735,74,iqs
11845874,0.007422,10,iqs
11866925,0.012125,22,iqs
12077846,0.014714,51,iqs
